03:38:12 NEW CHATROOM: staff
03:41:20 NEW CHATROOM: staff
03:42:01 NEW CHATROOM: staff
03:42:19 |raw|<div class="broadcast-red"><b>The server needs to restart because of a crash:</b> TypeError: WL.getFaction is not a function<br />    at Economy.readMoney.currency (&#x2f;home&#x2f;ubuntu&#x2f;workspace&#x2f;New Folder&#x2f;Impulse-PS&#x2f;wavelength-plugins&#x2f;profile.js:579:12)<br />Please restart the server.</div>
03:42:19 |raw|<div class="broadcast-red">You will not be able to start new battles until the server restarts.</div>
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch chat
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch formats
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:42:57 |c| Anrin N|/log Anrin N used /hotpatch all
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch chat
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch formats
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:44:15 |c| Anrin N|/log Anrin N used /hotpatch all
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch chat
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch formats
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:47:13 |c| Anrin N|/log Anrin N used /hotpatch all
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch chat
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch formats
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:47:49 |c| Anrin N|/log Anrin N used /hotpatch all
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch chat
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch formats
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:49:05 |c| Anrin N|/log Anrin N used /hotpatch all
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch chat
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch formats
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:49:43 |c| Anrin N|/log Anrin N used /hotpatch all
03:50:13 |c| Anrin N|/log Anrin N used /hotpatch chat
03:50:13 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:50:13 |c| Anrin N|/log Anrin N used /hotpatch formats
03:50:14 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:50:14 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:50:14 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:50:14 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:50:14 |c| Anrin N|/log Anrin N used /hotpatch all
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch chat
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch formats
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:50:36 |c| Anrin N|/log Anrin N used /hotpatch all
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch chat
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch formats
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:51:49 |c| Anrin N|/log Anrin N used /hotpatch all
03:52:01 |userstats|total:0|guests:0| :0|+:0|%:0|@:0|*:0|☆:0|★:0|#:0|&:0|~:0
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch chat
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch formats
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:52:33 |c| Anrin N|/log Anrin N used /hotpatch all
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch chat
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch formats
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:53:48 |c| Anrin N|/log Anrin N used /hotpatch all
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch chat
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch formats
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:54:51 |c| Anrin N|/log Anrin N used /hotpatch all
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch chat
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch tournaments
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch formats
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch loginserver
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch punishments
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch dnsbl
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch wavelength
03:58:55 |c| Anrin N|/log Anrin N used /hotpatch all
04:02:01 |userstats|total:0|guests:0| :0|+:0|%:0|@:0|*:0|☆:0|★:0|#:0|&:0|~:0
04:04:38 |raw|<div class="broadcast-red"><b>The server is restarting soon.</b><br />Please finish your battles quickly. No new battles can be started until the server resets in a few minutes.</div>
04:04:38 Anrin N used /lockdown
